Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"57.004,59",Game Garaj Slayer3 10XL-4070 C3 Notebook,Oyun,FreeDOS,17.3 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070,Var,1,Var,1,Var,,
"32.559,00",HP Victus Gaming 16-r0047nt (7P6L6EA) Notebook,Oyun,FreeDOS,16.1 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"65.304,00",Asus Zenbook 14X OLED UX3404VC-M9026W Ultrabook,İş/Mobil,Windows 11 Home,14.5 İnç,2880 x 1800 Piksel,120 Hz,Intel,Intel Core i9,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3050,Var,1,Var,2,Var,70.0 Wh,3 Hücreli
"37.999,00",Asus Vivobook Pro 14 OLED M3401QC-KM076W Ultrabook,Genel Kullanım,Windows 11 Home,14 İnç,2880 x 1800 Piksel,90 Hz,AMD,AMD Ryzen 9,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3050 50W,Var,1,Var,1,Var,63.0 Wh,3 Hücreli
"49.443,00",Acer Nitro 5 AN515-58 Notebook (NH.QFSEY.F003),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 3070 Ti,Var,3,Var,1,Var,,4 Hücreli
"49.499,00",Acer Nitro 5 AN515-58 Notebook (NH.QGAEY.F003),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"42.999,00",HP Victus Gaming 16-s0007nt (7Z581EA) Notebook,Oyun,FreeDOS,16.1 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"56.499,00",Asus ROG Zephyrus G16 GUW603ZU-NW3019H02 Notebook,Oyun,Windows 11 Home,16 İnç,1920 x 1200 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050 120W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"37.499,00",Asus TUF Gaming A15 (2023) FA507NV-LP023 Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4060 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"55.574,05",Lenovo ThinkPad T15g 20UR003FTX Notebook,İş/Mobil,Windows 10 Pro,15.6 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,32 GB,Var,512 GB,Var,NVIDIA GeForce RTX 2080 Super Max-Q,Var,2,Var,3,Var,94 Wh,
"91.098,46",Lenovo ThinkPad P17 G2 20YU0023TX053 Notebook,İş/Mobil,Windows 11 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,40 GB,Var,1 TB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,94 Wh,
