Fiyat,Kullanım Amaç,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,RAM,SSD Kapasitesi,USB 3.0 Adet,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı,FreeDOS,Windows,macOS,AMD,Apple,Intel,AMD Ryzen 5,AMD Ryzen 7,Apple M2 Max,Intel Core i5,Intel Core i7,Intel Core i9,Intel Xeon W
71420.0,1,17.3,3686400.0,165,64,3072.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
71185.0,1,17.3,3686400.0,165,64,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
71299.0,0,16.0,4096000.0,165,32,2048.0,1,2,0,82.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
69380.0,1,17.3,3686400.0,165,64,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
149299.0,0,17.3,2073600.0,60,32,512.0,2,3,0,93.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
66849.05,1,16.0,4096000.0,240,32,1024.0,3,2,0,90.0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0
185292.94,0,16.0,9216000.0,165,64,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
182685.83,0,16.0,9216000.0,165,32,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
109999.0,1,17.3,3686400.0,165,32,1024.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
72229.0,1,18.0,4096000.0,240,16,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
63499.0,1,16.0,3686400.0,165,32,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
71542.0,1,17.3,3686400.0,165,64,4096.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
88999.0,1,16.0,4096000.0,240,32,1024.0,4,2,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
69550.0,1,17.3,3686400.0,165,64,3072.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
103719.0,1,17.3,3686400.0,240,32,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
65999.0,1,17.3,3686400.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
82000.0,1,17.3,3686400.0,165,32,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
103540.16,0,17.3,2073600.0,165,128,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
67566.0,1,17.3,3686400.0,165,64,2048.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
184920.53,0,16.0,9216000.0,165,64,512.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
109299.49,1,15.6,3686400.0,165,64,4096.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
103729.48,1,15.6,3686400.0,165,64,4096.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
181940.89,0,16.0,9216000.0,165,32,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
45999.0,1,15.6,2073600.0,144,64,2048.0,3,1,0,61.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
87299.04,1,17.3,3686400.0,165,32,1024.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
80799.0,1,17.3,3686400.0,165,32,2048.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
59494.0,1,17.3,3686400.0,240,16,1024.0,2,2,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
99077.11,0,17.3,2073600.0,165,128,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
189999.0,0,15.6,8294400.0,165,32,1024.0,1,2,0,92.0,8.0,0,1,0,0,0,1,0,0,0,0,1,0,0
97539.48,1,15.6,3686400.0,165,64,2048.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
98722.5,0,17.3,2073600.0,165,128,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
169749.03,0,15.6,8294400.0,165,32,1024.0,1,2,0,92.0,8.0,0,1,0,0,0,1,0,0,0,0,1,0,0
95059.48,1,15.6,3686400.0,165,64,2048.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
50759.0,1,15.6,2073600.0,165,64,2048.0,3,1,0,73.15590725806452,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
71392.0,1,17.3,3686400.0,165,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
69578.0,1,17.3,3686400.0,165,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
